pali_1,pos,meaning_1,family_set
akkosakabhāradvāja,masc,name of a Brahman; one of three brothers,names of Brahmans
aggikabhāradvāja,masc,personal name of an arahant monk,names of monks; names of arahants
aggidatta,masc,name of Kakusandha Buddha's father,names of laypeople
aggivessa,masc,name of a minister,names of laypeople
aṅgulimāla,masc,personal name of an arahant monk,names of monks; names of arahants
aciravata,masc,name of novice,names of monks
acelakassapa,masc,name of a naked ascetic,names of ascetics
accutā,masc,name of a group of deities,names of deities
ajita 1,masc,name of an ascetic teacher,names of ascetics; six ascetic teachers
ajita 2,masc,name of a Licchavi military general,names of laypeople
ajjuka 2,masc,name of a monk,names of monks
aññākoṇḍañña,masc,name of the Buddha's first disciple; first person to realise the Buddha's teaching,names of monks
aññāsikoṇḍañña,masc,name of the Buddha's first disciple; first person to realise the Buddha's teaching,names of monks; names of arahants
atula 1,masc,name of a man,names of laypeople
anāthapiṇḍika,masc,name of the Buddha's chief lay disciple,names of lay disciples
anurādha,masc,name of a monk,names of monks
anuruddha 1,masc,name of a monk; great disciple of the Buddha; foremost monk in the divine eye; cousin of the Buddha,names of monks; great disciples; names of arahants
anejakā,masc,name of a group of deities,names of deities
antaka,masc,Death,names of deities
annabhāra 2,masc,name of a wandering ascetic,names of ascetics
abhaya 3,masc,name of a Licchavi layman,names of lay disciples
abhijika,masc,name of a monk,names of monks
abhibhū 2,masc,overlord; supreme being,names of deities
ambaṭṭha,masc,name of a young Brahman,names of Brahmans
aranemi,masc,name of a teacher of old,names of ascetics
ariṭṭha 1.1,masc,name of a monk,names of monks
ariṭṭhakā,masc,name of a group of deities,names of deities
aruṇā,masc,name of a group of deities,names of deities
asama 1,masc,name of a deity,names of deities
asibandhakaputta,masc,name of a layman,names of lay disciples
asurindakabhāradvāja,masc,name of a Brahman; one of three brothers,names of Brahmans
assaji 1.1,masc,name of a monk; Sāriputta's teacher,names of monks; names of arahants
ahiṃsakabhāradvāja,masc,personal name of an arahant monk,names of monks; names of arahants
ākoṭaka,masc,name of a deity,names of deities
ānanda 2,masc,"name of the Buddha's attendant; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",names of monks; great disciples
ābhassarā,masc,radiant gods; effulgent deities,names of deities
ābhijjika,masc,name of a monk,names of monks
ābhiñjika,masc,name of a monk,names of monks
ārāmadaṇḍa,masc,name of a Brahman,names of Brahmans
ārohanta,masc,name of a former minister who became a monk,names of monks
āsavā,masc,name of a group of deities,names of deities
āḷavikā,fem,name of a nun,names of nuns
āḷāra,masc,name of the Buddha's first teacher; Āḷāra Kālāma,names of ascetics
indaka,masc,name of a spirit,names of deities
isidatta,masc,name of a monk,names of monks
ugga 3,masc,name of a householder,names of laypeople
ugga 4,masc,name of a minister,names of laypeople
uggasena,masc,name of a layman; son of a banker in Rājagaha,names of laypeople
uṇṇābha,masc,name of a Brahmin,names of Brahmans
uttara 11,masc,name of a young Brahman,names of Brahmans
uttara 2.6,masc,name of a deity,names of deities
uttarā 3,fem,name of a young female spirit,names of deities
uttarānandamātar,fem,name of a female lay disciple; foremost among meditators,names of laypeople; great disciples
uttiya 1,masc,name of a wandering ascetic,names of ascetics
uttiya 2,masc,personal name of an arahant monk,names of monks; names of arahants
udaka 2.1,masc,name of the Buddha's second teacher; Udaka Rāmaputta,names of ascetics
udaya 3,masc,name of a monk addressed in Sutta Nipāta 5.14 (SNP 68),names of monks
udāyī 1,masc,name of a monk; Kāḷudāyi,names of monks
udāyī 2,masc,name of a monk; Paṇḍitaudāyi,names of monks
uddaka,masc,name of the Buddha's second teacher; Uddaka Rāmaputta,names of ascetics
upaka 1,masc,name of an arahant,names of arahants
upaka 2,masc,name of an ascetic; first person the Buddha met after his enlightenment,names of ascetics
upacālā,fem,name of a nun,names of nuns
upatissa,masc,name of Sāriputta,names of monks; great disciples
upananda 1,masc,name of the military general of Magadha,names of laypeople
upavāna,masc,name of a monk; attendant of the Buddha,names of monks
upāli 1,masc,name of a layman,names of laypeople
upāli 2,masc,name of a monk; great disciple of the Buddha; foremost disciple of those learned in the Vinaya,names of monks; great disciples
uppalavaṇṇā,fem,name of a nun,names of nuns
uruvelakassapa,masc,name of a monk; great disciple of the Buddha; foremost in those with a large following,names of monks; great disciples
esukārī,masc,name of a Brahman,names of Brahmans
ojasi,masc,name of a deity,names of deities
odātagayhā,masc,name of a group of deities,names of deities
opamañña 2,masc,name of a deity,names of deities
kakudha 1,masc,name of a deity,names of deities
kaṅkhārevata,masc,name of a monk; great disciple of the Buddha; foremost in jhāna,names of monks; great disciples
