SBS-Example1	DPD-Example1
<b>akakkasaṃ</b> viññāpaniṃ, giraṃ saccam'udīraye,<br/>yāya n'ābhisaje kañci, tam'ahaṃ brūmi brāhmaṇaṃ.	<b>akakkasaṃ</b> viññāpaniṃ,<br/>giraṃ saccam'udīraye,<br/>yāya n'ābhisaje kañci,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.
puna caparaṃ, brāhmaṇa, idh'ekacco <b>akaṅkhī</b> hoti avicikicchī niṭṭhaṅ'gato saddhamme. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akaṅkhī</b> hoti avicikicchī niṭṭhaṅ'gato saddhamme. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati. tassa aññatarena gāḷhena rog'ātaṅkena phuṭṭhassa evaṃ hoti, <b>akaṅkhī</b> vat'amhi avicikicchī niṭṭhaṅ'gato saddhamme'ti.
na brāhmaṇass'etad'<b>akiñci</b> seyyo,<br/>yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati,<br/>tato tato sammati'm'eva dukkhaṃ.	na brāhmaṇass'etad'<b>akiñci</b> seyyo,<br/>yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati,<br/>tato tato sammati'm'eva dukkhaṃ.
sac'āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen'aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ'ca dosañ'ca appaccayañ'ca pātukaroti, evaṃ sant'āyaṃ, bhikkhave, puggalo <b>akaccho</b> hoti.	kathāsampayogena, bhikkhave, puggalo veditabbo yadi vā kaccho yadi vā <b>akaccho</b>'ti.
yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā, <b>akaṭa</b>anudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena, saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.	yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ</b>'ānudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.
yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā, <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena, saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.	yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.
puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatakalyāṇo</b> hoti akatakusalo akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatakalyāṇo</b> hoti akatakusalo akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti akataluddo <b>akatakibbiso</b> katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti akataluddo <b>akatakibbiso</b> katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti <b>akatakusalo</b> akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.	puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti <b>akatakusalo</b> akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.
assaddho <b>akataññū</b> ca, sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso, sa ve uttamaporiso.	assaddho <b>akataññū</b> ca,<br/>sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso,<br/>sa ve uttamaporiso.
